entry,offset,span,inflated_size,numeric_hits,text_hits,known_struct,notes
0,0xe800,0x1ebf4,0x1ebf4,"26:u16=101:u32=38;57:u16=76:u32=22;58:u16=76:u32=15;131:u16=27:u32=1;174:u16=2:u32=1;294:u16=3:u32=2;586:u16=3:u32=2;699:u16=3:u32=2;911:u16=3:u32=2",,,"early_table"
1,0x2d400,0xc4d4,0xc4d4,"26:u16=9:u32=0;57:u16=2:u32=0;58:u16=4:u32=0;174:u16=1:u32=1",,,"early_table"
2,0x39900,0xd304,0xd304,"26:u16=21:u32=0;57:u16=13:u32=0;58:u16=13:u32=0;131:u16=5:u32=5;174:u16=31:u32=0",,,"early_table"
3,0x46d00,0x17804,0x17804,"26:u16=22:u32=0;57:u16=16:u32=1;58:u16=21:u32=1;131:u16=17:u32=0;174:u16=2:u32=0;294:u16=11:u32=0;586:u16=1:u32=0;699:u16=1:u32=0",,entry3_costume_static,"early_table"
5,0x5f000,0xe1c,0xe1c,"26:u16=1:u32=0;57:u16=9:u32=0",,,"early_table"
6,0x5ff00,0x48a10,0x48a10,"26:u16=96:u32=8;57:u16=74:u32=2;58:u16=43:u32=1;131:u16=144:u32=2;174:u16=1:u32=1",,,"early_table"
7,0xa8a00,0x2208,0x2208,"26:u16=52:u32=0;57:u16=53:u32=0;58:u16=13:u32=0;131:u16=4:u32=0",,,"early_table"
8,0xaad00,0x3f598,0x3f598,"26:u16=12:u32=2;57:u16=9:u32=2;58:u16=11:u32=3;131:u16=5:u32=2;174:u16=3:u32=0",,,"early_table"
10,0xec300,0xf730,0xf730,"26:u16=1:u32=1;57:u16=1:u32=1;58:u16=1:u32=1;131:u16=257:u32=2;174:u16=1:u32=1;294:u16=1:u32=1",,,"early_table"
11,0xfbb00,0xc700,0xc700,"26:u16=5:u32=1;57:u16=1:u32=0;58:u16=8:u32=2;131:u16=1:u32=0;294:u16=2:u32=0",,,"early_table"
12,0x108200,0x15ce0,0x15ce0,"26:u16=2:u32=0;57:u16=15:u32=0;58:u16=17:u32=0;131:u16=12:u32=0;174:u16=1:u32=0;294:u16=1:u32=0",,,"early_table"
