owner_id,owner_name,row,name,relation
0,MPLC000_Luffy,0,MPLC000_Luffy,0
0,MPLC000_Luffy,134,MSUB000_Gatling,146
0,MPLC000_Luffy,144,MSUB010_Python,146
0,MPLC000_Luffy,161,MSUB027_Luffy_Organ,146
0,MPLC000_Luffy,162,MSUB028_Snake_Python,146
0,MPLC000_Luffy,163,MPLC000_Luffy,149
0,MPLC000_Luffy,166,MSUB032_Boundarm,155
0,MPLC000_Luffy,167,MPLC000_Luffy,156
0,MPLC000_Luffy,170,MSUB036_Naga_Urban,146
0,MPLC000_Luffy,184,MCHG000_Luffy_T,147
0,MPLC000_Luffy,192,MCHG008_Luffy_B,147
0,MPLC000_Luffy,193,MCHG009_Luffy_S,148
0,MPLC000_Luffy,202,MVAR000_Luffy_NW,96
0,MPLC000_Luffy,229,MVAR027_Luffy_Lucy,96
0,MPLC000_Luffy,238,MVAR036_Luffy_Fake,-1
0,MPLC000_Luffy,274,MDLC035_Luffy_Wa,96
0,MPLC000_Luffy,275,MDLC036_Luffy_B_Wa,147
0,MPLC000_Luffy,276,MDLC037_Luffy_S_Wa,148
0,MPLC000_Luffy,295,MDLC056_Luffy_N_Gear5,-1
0,MPLC000_Luffy,307,MDLC068_Yamato_S,-1
0,MPLC000_Luffy,310,MDLC071_Uta_Note,-1
0,MPLC000_Luffy,372,MEVC000_Vivi,94
0,MPLC000_Luffy,373,MEVC001_Rayleigh,95
0,MPLC000_Luffy,374,MEVC002_Sengoku,94
0,MPLC000_Luffy,376,MEVC004_Drake,94
0,MPLC000_Luffy,378,MEVC006_Momonosuke,94
0,MPLC000_Luffy,379,MEVC007_Kyros,95
0,MPLC000_Luffy,380,MEVC008_Kyros_Toy,94
0,MPLC000_Luffy,381,MEVC009_Rebecca,95
0,MPLC000_Luffy,383,MEVC011_Judge,95
0,MPLC000_Luffy,384,MEVC012_Purin,94
0,MPLC000_Luffy,385,MEVC013_Purin_Wed,95
0,MPLC000_Luffy,386,MEVC014_Brulee,94
0,MPLC000_Luffy,387,MEVC015_Jack,95
0,MPLC000_Luffy,388,MEVC100_Pir_Axe,94
0,MPLC000_Luffy,389,MEVC101_Pir_Sword,95
0,MPLC000_Luffy,390,MEVC102_Pir_Club,94
0,MPLC000_Luffy,392,MEVC104_Mar_Hand,94
0,MPLC000_Luffy,407,MPLC000_Luffy,95
0,MPLC000_Luffy,408,MEVC120_Chess_King,94
0,MPLC000_Luffy,410,MEVC122_Germa,94
0,MPLC000_Luffy,411,MEVC200_Pirates,94
0,MPLC000_Luffy,412,MEVC201_Marine,95
0,MPLC000_Luffy,417,MEVC206_Enies,94
0,MPLC000_Luffy,418,MEVC207_Villager,95
0,MPLC000_Luffy,423,MEVC212_Franky,94
0,MPLC000_Luffy,425,MEVC214_Chess,94
0,MPLC000_Luffy,426,MEVC215_Firetank,95
0,MPLC000_Luffy,427,MEVC216_Beast,95
1,MPLC001_Zoro,1,MPLC001_Zoro,1
1,MPLC001_Zoro,203,MVAR001_Zoro_NW,97
1,MPLC001_Zoro,277,MDLC038_Zoro_Wa,97
2,MPLC002_Nami,2,MPLC002_Nami,2
2,MPLC002_Nami,204,MVAR002_Nami_NW,98
2,MPLC002_Nami,279,MDLC040_Nami_Wa,98
3,MPLC003_Usopp,3,MPLC003_Usopp,3
3,MPLC003_Usopp,135,MSUB001_Popgreen,149
3,MPLC003_Usopp,205,MVAR003_Usopp_NW,99
4,MPLC004_Sanji,4,MPLC004_Sanji,4
4,MPLC004_Sanji,206,MVAR004_Sanji_NW,100
4,MPLC004_Sanji,230,MVAR028_Sanji_Tuxedo,97
4,MPLC004_Sanji,278,MDLC039_Sanji_Osoba,100
5,MPLC005_Chopper,5,MPLC005_Chopper,5
5,MPLC005_Chopper,186,MCHG002_Chopper_M,150
5,MPLC005_Chopper,187,MCHG003_Chopper_M_NW,151
5,MPLC005_Chopper,207,MVAR005_Chopper_NW,101
6,MPLC006_Robin,6,MPLC006_Robin,6
6,MPLC006_Robin,136,MSUB002_Hand,152
6,MPLC006_Robin,168,MSUB034_Robin_Wing,157
6,MPLC006_Robin,208,MVAR006_Robin_NW,102
6,MPLC006_Robin,220,MVAR018_Robin_AS,125
7,MPLC007_Franky,7,MPLC007_Franky,7
7,MPLC007_Franky,188,MCHG004_Franky_S,153
7,MPLC007_Franky,209,MVAR007_Franky_NW,103
8,MPLC008_Brook,8,MPLC008_Brook,8
8,MPLC008_Brook,165,MSUB031_Brooksoul,154
8,MPLC008_Brook,210,MVAR008_Brook_NW,104
9,MPLC009_Ace,9,MPLC009_Ace,9
10,MPLC010_Hancock,10,MPLC010_Hancock,10
10,MPLC010_Hancock,273,MDLC034_Hancock_Ogk,10
11,MPLC011_Jimbei,11,MPLC011_Jimbei,11
11,MPLC011_Jimbei,221,MVAR019_Jimbei_NW,126
12,MPLC012_Newgate,12,MPLC012_Newgate,12
13,MPLC013_Buggy,13,MPLC013_Buggy,13
13,MPLC013_Buggy,137,MSUB003_Parts,154
14,MPLC014_Mihawk,14,MPLC014_Mihawk,14
15,MPLC015_Crocodile,15,MPLC015_Crocodile,15
15,MPLC015_Crocodile,138,MSUB004_Sand,155
16,MPLC016_Teach,16,MPLC016_Teach,16
16,MPLC016_Teach,237,MVAR035_Teach_NW,98
18,MPLC018_Kizaru,18,MPLC018_Kizaru,18
19,MPLC019_Aokiji,19,MPLC019_Aokiji,19
19,MPLC019_Aokiji,164,MSUB030_Icepheasant,152
19,MPLC019_Aokiji,215,MVAR013_Aokiji_NW,120
20,MPLC020_Akainu,20,MPLC020_Akainu,20
20,MPLC020_Akainu,139,MSUB005_Magma,156
23,MPLC023_Smoker,23,MPLC023_Smoker,23
23,MPLC023_Smoker,222,MVAR020_Smoker_NW,127
24,MPLC024_Marco,24,MPLC024_Marco,24
25,MPLC025_Garp,25,MPLC025_Garp,25
26,MPLC026_Law,26,MPLC026_Law,26
26,MPLC026_Law,227,MVAR025_Law_DR,168
26,MPLC026_Law,272,MDLC033_Law_Souhi,168
26,MPLC026_Law,292,MPLC026_Law,26
26,MPLC026_Law,308,MDLC069_Law_Oni,26
27,MPLC027_Doflamingo,27,MPLC027_Doflamingo,27
27,MPLC027_Doflamingo,157,MSUB023_Godthread,155
27,MPLC027_Doflamingo,158,MSUB024_Godthread02,156
28,MPLC028_Tashigi,28,MPLC028_Tashigi,28
28,MPLC028_Tashigi,224,MVAR022_Tashigi_NW,131
30,MPLC030_Fujitora,30,MPLC030_Fujitora,30
31,MPLC031_Sabo,31,MPLC031_Sabo,31
31,MPLC031_Sabo,228,MVAR026_Sabo_Lucy,170
32,MPLC032_Lucci,32,MPLC032_Lucci,32
32,MPLC032_Lucci,189,MCHG005_Lucci_B,161
35,MPLC035_Ivankov,35,MPLC035_Ivankov,35
36,MPLC036_Shanks,36,MPLC036_Shanks,36
38,MPLC038_Cavendish,37,MPLC037_Bartolomeo,0
41,MPLC041_Reiju,40,MPLC040_Carrot,0
41,MPLC041_Reiju,196,MCHG012_Carrot_S,153
42,MPLC042_Ichiji,41,MPLC041_Reiju,0
43,MPLC043_Niji,42,MPLC042_Ichiji,0
44,MPLC044_Yonji,43,MPLC043_Niji,0
47,MPLC047_Katakuri,46,MPLC046_Linlin,0
48,MPLC048_Kaido,47,MPLC047_Katakuri,0
48,MPLC048_Kaido,148,MSUB014_Mochi,155
48,MPLC048_Kaido,171,MSUB037_Donut,146
48,MPLC048_Kaido,173,MSUB039_Mochi02,152
49,MPLC049_Kid,48,MPLC048_Kaido,0
49,MPLC049_Kid,199,MCHG015_Kaido_D,148
50,MPLC050_Hawkins_NW,49,MPLC049_Kid,0
50,MPLC050_Hawkins_NW,149,MSUB015_Weapon_L,156
50,MPLC050_Hawkins_NW,159,MSUB025_Kid_Weapon,157
50,MPLC050_Hawkins_NW,160,MSUB026_Kid_Parts,158
50,MPLC050_Hawkins_NW,233,MVAR031_Kid_NW,168
70,MNPC019_Mr1,60,MNPC009_Blueno,46
76,MNPC025_Burgess,66,MNPC015_Vista,52
87,MPLC000_Luffy,77,MNPC026_Coby,63
93,MNPC042_Drake_Chg,89,MNPC038_Diamante,0
93,MNPC042_Drake_Chg,154,MSUB020_Fireworks,149
93,MNPC042_Drake_Chg,155,MSUB021_Ironball,152
110,MBSS016_Mar_Hand_G,102,MBSS008_Pir_Claw,72
129,MZAK012_Franky,124,MZAK007_Villager,87
184,MCHG000_Luffy_T,284,MDLC045_Drake_PC,-1
184,MCHG000_Luffy_T,290,MDLC051_Drake_Chg_PC,-1
186,MCHG002_Chopper_M,286,MDLC047_Urouge,-1
186,MCHG002_Chopper_M,291,MDLC052_Urouge_Chg,-1
187,MCHG003_Chopper_M_NW,287,MDLC048_Kiku,-1
188,MCHG004_Franky_S,288,MDLC049_Kinemon_PC,-1
189,MCHG005_Lucci_B,289,MDLC050_Oden,-1
192,MCHG008_Luffy_B,296,MDLC057_Kaido_HB,-1
192,MCHG008_Luffy_B,306,MDLC067_Kaido_D2,-1
193,MCHG009_Luffy_S,297,MDLC058_Yamato,-1
193,MCHG009_Luffy_S,298,MDLC059_Yamato_HB,-1
196,MCHG012_Carrot_S,302,MDLC063_Shanks_RED,-1
199,MCHG015_Kaido_D,305,MDLC066_Rayleigh_YNG,-1
201,MCHG017_Hawkins_G_NW,311,MDLC072_Lucci_CP0,32
201,MCHG017_Hawkins_G_NW,312,MDLC073_Lucci_C_SL,32
201,MCHG017_Hawkins_G_NW,313,MDLC074_Lucci_C_BS,-1
202,MVAR000_Luffy_NW,314,MDLC075_Bonney_EGH,-1
202,MVAR000_Luffy_NW,315,MDLC076_Bonney_2YA,-1
202,MVAR000_Luffy_NW,316,MDLC077_Bonney_G,-1
202,MVAR000_Luffy_NW,317,MDLC078_Bonney_G_2YA,-1
203,MVAR001_Zoro_NW,318,MDLC079_Bonney_FRF,-1
204,MVAR002_Nami_NW,322,MDLC083_Eneru_D,-1
204,MVAR002_Nami_NW,323,MDLC084_Eneru_A_D,-1
204,MVAR002_Nami_NW,324,MDLC085_Eneru_TH_B,-1
204,MVAR002_Nami_NW,325,MDLC086_Eneru_TH_W,-1
204,MVAR002_Nami_NW,326,MDLC087_Eneru_TH_D,-1
205,MVAR003_Usopp_NW,327,MDLC088_Z_D,-1
206,MVAR004_Sanji_NW,328,MDLC089_King,-1
206,MVAR004_Sanji_NW,329,MDLC090_King_BS,-1
206,MVAR004_Sanji_NW,330,MDLC091_King_DR,-1
