entry_index,record_start_hex,id_offset_hex,value,u32_00,u32_04,u32_08,u32_0c,u32_10,u32_14,u32_18,u32_1c,u32_20,u32_24,u32_28,u32_2c,u32_30,u32_34,u32_38,u32_3c
29,0x1b6c,0x1b8c,911,886,1,887,22,909,1,910,1,911,1,912,16,928,16,944,1
29,0x1f5c,0x1f7c,911,886,1,887,22,909,1,910,1,911,1,912,16,928,16,944,1
29,0x234c,0x236c,911,886,1,887,22,909,1,910,1,911,1,912,1,913,1,914,1
29,0x271c,0x273c,911,886,1,887,22,909,1,910,1,911,1,912,1,913,1,914,1
29,0x2aec,0x2b0c,911,886,1,887,22,909,1,910,1,911,1,912,1,913,1,914,1
29,0x300c,0x302c,911,907,1,908,1,909,1,910,1,911,1,912,1,913,1,914,1
29,0x33bc,0x33dc,911,907,1,908,1,909,1,910,1,911,1,912,1,913,1,914,1
29,0x376c,0x378c,911,907,1,908,1,909,1,910,1,911,1,912,1,913,1,914,1
29,0x3b1c,0x3b3c,911,907,1,908,1,909,1,910,1,911,1,912,1,913,1,914,1
32,0x398,0x3b8,26,22,8148,22,8170,19,8189,21,8210,26,8236,26,8262,26,8288,26,8314
32,0x3a0,0x3c0,26,22,8170,19,8189,21,8210,26,8236,26,8262,26,8288,26,8314,15,8329
32,0x3a8,0x3c8,26,19,8189,21,8210,26,8236,26,8262,26,8288,26,8314,15,8329,20,8349
32,0x3b0,0x3d0,26,21,8210,26,8236,26,8262,26,8288,26,8314,15,8329,20,8349,20,8369
32,0x658,0x678,26,17,9855,25,9880,21,9901,21,9922,26,9948,28,9976,17,9993,26,10019
32,0x670,0x690,26,21,9922,26,9948,28,9976,17,9993,26,10019,18,10037,22,10059,21,10080
32,0x6e8,0x708,26,19,10230,19,10249,25,10274,17,10291,26,10317,21,10338,15,10353,21,10374
32,0xf58,0xf78,26,17,14583,17,14600,23,14623,23,14646,26,14672,24,14696,24,14720,27,14747
32,0xf88,0xfa8,26,24,14720,27,14747,23,14770,23,14793,26,14819,27,14846,27,14873,30,14903
32,0xfb8,0xfd8,26,27,14873,30,14903,23,14926,23,14949,26,14975,23,14998,23,15021,26,15047
32,0xfd0,0xff0,26,23,14949,26,14975,23,14998,23,15021,26,15047,22,15069,22,15091,25,15116
32,0x1000,0x1020,26,22,15091,25,15116,23,15139,23,15162,26,15188,22,15210,22,15232,25,15257
32,0x1020,0x1040,26,26,15188,22,15210,22,15232,25,15257,26,15283,26,15309,29,15338,22,15360
32,0x1028,0x1048,26,22,15210,22,15232,25,15257,26,15283,26,15309,29,15338,22,15360,22,15382
32,0x11b0,0x11d0,26,24,16299,27,16326,23,16349,23,16372,26,16398,24,16422,24,16446,27,16473
32,0x11e0,0x1200,26,24,16446,27,16473,23,16496,23,16519,26,16545,22,16567,22,16589,25,16614
32,0x1228,0x1248,26,24,16662,27,16689,23,16712,23,16735,26,16761,22,16783,22,16805,25,16830
32,0x56b8,0x56d8,26,40,19942,38,19980,36,20016,34,20050,26,20076,32,20108,33,20141,31,20172
32,0x5770,0x5790,26,30,20683,32,20715,34,20749,36,20785,26,20811,26,20837,26,20863,30,20893
32,0x5778,0x5798,26,32,20715,34,20749,36,20785,26,20811,26,20837,26,20863,30,20893,30,20923
32,0x5780,0x57a0,26,34,20749,36,20785,26,20811,26,20837,26,20863,30,20893,30,20923,30,20953
32,0x59b8,0x59d8,26,30,23066,27,23093,29,23122,29,23151,26,23177,28,23205,28,23233,39,23272
