entry_index,data_offset_hex,field_04,compressed_span,uncompressed_size,inflated_size,inflate_status
0,0xe800,0,125940,0,0,ok
1,0x2d400,0,50388,0,0,ok
2,0x39900,0,54020,0,0,ok
3,0x46d00,0,96260,0,0,ok
4,0x5e600,0,2544,0,0,ok
5,0x5f000,0,3612,0,0,ok
6,0x5ff00,0,297488,0,0,ok
7,0xa8a00,0,8712,0,0,ok
8,0xaad00,0,259480,0,0,ok
9,0xea300,0,8000,0,0,ok
10,0xec300,0,63280,0,0,ok
11,0xfbb00,0,50944,0,0,ok
12,0x108200,0,89312,0,0,ok
13,0x11df00,0,41016,0,0,ok
14,0x128000,0,12000,0,0,ok
15,0x12af00,0,260,0,0,ok
16,0x12b100,0,41056,0,0,ok
17,0x135200,0,438160,0,0,ok
18,0x1a0200,0,5096,0,0,ok
19,0x1a1600,0,11716,0,0,ok
20,0x1a4400,0,14608,0,0,ok
21,0x1a7e00,0,4800,0,0,ok
22,0x1a9100,0,377568,0,0,ok
23,0x205400,0,580,0,0,ok
24,0x205700,0,10824,0,0,ok
25,0x208200,0,29812,0,0,ok
26,0x20f700,0,1200,0,0,ok
27,0x20fc00,0,1156,0,0,ok
28,0x210100,0,168,0,0,ok
29,0x210200,0,2173,22272,22272,ok
30,0x210b00,0,2579,7456,7456,ok
31,0x211600,0,368,1056,1056,ok
32,0x211800,0,255532,1354352,1354352,ok
33,0x24ff00,0,658351,4383968,4383968,ok
34,0x2f0b00,0,920,2864,2864,ok
35,0x2f0f00,0,8199,81424,81424,ok
36,0x2f3000,0,2499,281968,281968,ok
37,0x2f3a00,0,2371,207376,207376,ok
38,0x2f4400,0,744,92176,92176,ok
39,0x2f4700,0,754,33616,33616,ok
40,0x2f4a00,0,2290,28816,28816,ok
41,0x2f5300,0,437,880,880,ok
42,0x2f5500,0,13131,759568,759568,ok
43,0x2f8900,0,60,272,272,ok
44,0x2f8a00,0,74,208,208,ok
45,0x2f8b00,0,268,1040,1040,ok
46,0x2f8d00,0,1140,18064,18064,ok
47,0x2f9200,0,110,368,368,ok
48,0x2f9300,0,40,64,64,ok
49,0x2f9400,0,51,64,64,ok
50,0x2f9500,0,480,8016,8016,ok
51,0x2f9700,0,12973,313872,313872,ok
52,0x2fca00,0,68020,832112,832112,ok
53,0x30d400,0,650,1936,1936,ok
54,0x30d700,0,18528,126912,126912,ok
55,0x312000,0,86,304,304,ok
56,0x312100,0,337,1168,1168,ok
57,0x312300,0,73,80,80,ok
58,0x312400,0,3827,55636,55636,ok
59,0x313300,0,138590,1920016,1920016,ok
60,0x335100,0,47899,409648,409648,ok
61,0x340d00,0,27347,92624,92624,ok
62,0x347800,0,20600,96272,96272,ok
63,0x34c900,0,34235,228880,228880,ok
64,0x354f00,0,94566,626224,626224,ok
65,0x36c100,0,1296,0,0,ok
66,0x36c700,0,4126,51696,51696,ok
67,0x36d800,0,2672,0,0,ok
68,0x36e300,0,25273,183840,183840,ok
69,0x374600,0,23975,180208,180208,ok
70,0x37a400,0,19725,156864,156864,ok
71,0x37f200,0,20224,156016,156016,ok
72,0x384100,0,24774,183184,183184,ok
73,0x38a200,0,19709,146096,146096,ok
74,0x38ef00,0,23780,181184,181184,ok
75,0x394c00,0,19602,147232,147232,ok
76,0x399900,0,21504,159776,159776,ok
77,0x39ed00,0,22608,174208,174208,ok
78,0x3a4600,0,20357,160480,160480,ok
79,0x3a9600,0,19036,143072,143072,ok
80,0x3ae100,0,20590,155664,155664,ok
81,0x3b3200,0,21087,157856,157856,ok
82,0x3b8500,0,22155,171680,171680,ok
83,0x3bdc00,0,20747,161472,161472,ok
84,0x3c2e00,0,19293,144608,144608,ok
85,0x3c7a00,0,24223,181056,181056,ok
86,0x3cd900,0,20277,157024,157024,ok
87,0x3d2900,0,21361,166032,166032,ok
88,0x3d7d00,0,23360,176864,176864,ok
89,0x3dd900,0,24083,180352,180352,ok
90,0x3e3800,0,25914,197504,197504,ok
91,0x3e9e00,0,22856,175296,175296,ok
92,0x3ef800,0,18316,137120,137120,ok
93,0x3f4000,0,22372,169280,169280,ok
94,0x3f9800,0,20309,149632,149632,ok
95,0x3fe800,0,21009,165184,165184,ok
96,0x403b00,0,22550,175952,175952,ok
97,0x409400,0,27596,219056,219056,ok
98,0x410000,0,20055,150976,150976,ok
99,0x414f00,0,22637,171136,171136,ok
100,0x41a800,0,19873,145504,145504,ok
101,0x41f600,0,27896,227792,227792,ok
102,0x426300,0,22947,173520,173520,ok
103,0x42bd00,0,25615,199680,199680,ok
104,0x432200,0,24955,189568,189568,ok
105,0x438400,0,23521,189936,189936,ok
106,0x43e000,0,30225,254080,254080,ok
107,0x445700,0,21547,164176,164176,ok
108,0x44ac00,0,19588,147312,147312,ok
109,0x44f900,0,32698,285104,285104,ok
110,0x457900,0,19998,153040,153040,ok
111,0x45c800,0,13664,107744,107744,ok
112,0x45fe00,0,13139,102624,102624,ok
113,0x463200,0,16110,124720,124720,ok
114,0x467100,0,14703,115184,115184,ok
115,0x46ab00,0,8365,67824,67824,ok
116,0x46cc00,0,15457,123232,123232,ok
117,0x470900,0,14499,111936,111936,ok
118,0x474200,0,16081,126064,126064,ok
119,0x478100,0,14991,119552,119552,ok
120,0x47bc00,0,17443,135744,135744,ok
121,0x480100,0,15458,121904,121904,ok
122,0x483e00,0,14668,113664,113664,ok
123,0x487800,0,14156,111360,111360,ok
124,0x48b000,0,15456,120880,120880,ok
125,0x48ed00,0,15095,119296,119296,ok
126,0x492800,0,15377,121088,121088,ok
127,0x496500,0,14551,113184,113184,ok
128,0x499e00,0,11711,90816,90816,ok
129,0x49cc00,0,14625,112848,112848,ok
130,0x4a0600,0,11245,89280,89280,ok
131,0x4a3200,0,8444,62512,62512,ok
132,0x4a5300,0,5448,43312,43312,ok
133,0x4a6900,0,5448,43312,43312,ok
134,0x4a7f00,0,14411,110352,110352,ok
135,0x4ab800,0,13512,101168,101168,ok
136,0x4aed00,0,14646,113664,113664,ok
137,0x4b2700,0,11907,92368,92368,ok
138,0x4b5600,0,14505,112016,112016,ok
139,0x4b8f00,0,14411,112272,112272,ok
140,0x4bc800,0,14616,115024,115024,ok
141,0x4c0200,0,14033,107840,107840,ok
142,0x4c3900,0,14354,110064,110064,ok
143,0x4c7200,0,14432,111472,111472,ok
144,0x4cab00,0,14939,116640,116640,ok
145,0x4ce600,0,14888,118000,118000,ok
146,0x4d2100,0,14276,110016,110016,ok
147,0x4d5900,0,12811,101792,101792,ok
148,0x4d8c00,0,13483,105040,105040,ok
149,0x4dc100,0,14293,108464,108464,ok
150,0x4df900,0,14418,112336,112336,ok
151,0x4e3200,0,2063,16288,16288,ok
152,0x4e3b00,0,21880,178992,178992,ok
153,0x4e9100,0,13068,103936,103936,ok
154,0x4ec500,0,16834,138288,138288,ok
155,0x4f0700,0,17900,146160,146160,ok
156,0x4f4d00,0,12192,97040,97040,ok
157,0x4f7d00,0,19133,154656,154656,ok
158,0x4fc800,0,12545,99920,99920,ok
159,0x4ffa00,0,12126,96864,96864,ok
160,0x502a00,0,12354,98096,98096,ok
161,0x505b00,0,12726,101280,101280,ok
162,0x508d00,0,6813,54064,54064,ok
163,0x50a800,0,7218,57600,57600,ok
164,0x50c500,0,10926,87504,87504,ok
165,0x50f000,0,7528,63568,63568,ok
166,0x510e00,0,6821,54160,54160,ok
167,0x512900,0,6793,54064,54064,ok
168,0x514400,0,13057,101520,101520,ok
169,0x517800,0,11053,99824,99824,ok
170,0x51a400,0,7247,56656,56656,ok
171,0x51c100,0,6873,54192,54192,ok
172,0x51dc00,0,6872,54192,54192,ok
173,0x51f700,0,6920,54464,54464,ok
174,0x521300,0,6647,53072,53072,ok
175,0x522d00,0,6385,51360,51360,ok
176,0x524600,0,6611,53136,53136,ok
177,0x526000,0,6418,51680,51680,ok
178,0x527a00,0,6473,51984,51984,ok
179,0x529400,0,6518,52384,52384,ok
180,0x52ae00,0,6517,52384,52384,ok
181,0x52c800,0,6603,52640,52640,ok
182,0x52e200,0,6600,52640,52640,ok
183,0x52fc00,0,1087,6480,6480,ok
184,0x530100,0,721,4624,4624,ok
185,0x530400,0,721,4624,4624,ok
186,0x530700,0,903,5728,5728,ok
187,0x530b00,0,2807,24144,24144,ok
188,0x531600,0,1347,8016,8016,ok
189,0x531c00,0,5084,52736,52736,ok
190,0x533000,0,812,5232,5232,ok
191,0x533400,0,721,4624,4624,ok
192,0x533700,0,6534,64688,64688,ok
193,0x535100,0,721,4624,4624,ok
194,0x535400,0,948,6048,6048,ok
195,0x535800,0,1236,8032,8032,ok
196,0x535d00,0,721,4624,4624,ok
197,0x536000,0,721,4624,4624,ok
198,0x536300,0,1283,8704,8704,ok
199,0x536900,0,1065,6400,6400,ok
200,0x536e00,0,721,4624,4624,ok
201,0x537100,0,721,4624,4624,ok
202,0x537400,0,721,4624,4624,ok
203,0x537700,0,1477,9392,9392,ok
204,0x537d00,0,9947,75536,75536,ok
205,0x53a400,0,928,5648,5648,ok
206,0x53a800,0,8989,70304,70304,ok
207,0x53cc00,0,21512,168064,168064,ok
208,0x542100,0,18323,141008,141008,ok
209,0x546900,0,20120,152896,152896,ok
210,0x54b800,0,7779,62688,62688,ok
211,0x54d700,0,6937,54576,54576,ok
212,0x54f300,0,30121,264976,264976,ok
213,0x556900,0,17339,126400,126400,ok
214,0x55ad00,0,8571,64656,64656,ok
215,0x55cf00,0,22417,168800,168800,ok
216,0x562700,0,21683,166800,166800,ok
217,0x567c00,0,20053,154160,154160,ok
