entry_index,data_offset_hex,field_04,compressed_span,uncompressed_size,inflated_size,inflate_status
0,0xe800,0,125940,0,0,ok
1,0x2d400,0,50388,0,0,ok
2,0x39900,0,54020,0,0,ok
3,0x46d00,0,96260,0,0,ok
4,0x5e600,0,2544,0,0,ok
5,0x5f000,0,3612,0,0,ok
6,0x5ff00,0,297488,0,0,ok
7,0xa8a00,0,8712,0,0,ok
8,0xaad00,0,259480,0,0,ok
9,0xea300,0,8000,0,0,ok
10,0xec300,0,63280,0,0,ok
11,0xfbb00,0,50944,0,0,ok
12,0x108200,0,89312,0,0,ok
13,0x11df00,0,41016,0,0,ok
14,0x128000,0,12000,0,0,ok
15,0x12af00,0,260,0,0,ok
16,0x12b100,0,41056,0,0,ok
17,0x135200,0,438160,0,0,ok
18,0x1a0200,0,5096,0,0,ok
19,0x1a1600,0,11716,0,0,ok
20,0x1a4400,0,14608,0,0,ok
21,0x1a7e00,0,4800,0,0,ok
22,0x1a9100,0,377568,0,0,ok
23,0x205400,0,580,0,0,ok
24,0x205700,0,10824,0,0,ok
25,0x208200,0,29812,0,0,ok
26,0x20f700,0,1200,0,0,ok
27,0x20fc00,0,1156,0,0,ok
28,0x210100,0,168,0,0,ok
29,0x210200,0,22272,0,0,ok
30,0x215900,0,7456,0,0,ok
31,0x217700,0,1056,0,0,ok
32,0x217c00,0,1354352,0,0,ok
33,0x362700,0,4383968,0,0,ok
34,0x790c00,0,2864,0,0,ok
35,0x791800,0,81424,0,0,ok
36,0x7a5700,0,281968,0,0,ok
37,0x7ea500,0,207376,0,0,ok
38,0x81d000,0,92176,0,0,ok
39,0x833900,0,20512,0,0,ok
40,0x838a00,0,28816,0,0,ok
41,0x83fb00,0,880,0,0,ok
42,0x83ff00,0,759568,0,0,ok
43,0x8f9700,0,272,0,0,ok
44,0x8f9900,0,208,0,0,ok
45,0x8f9a00,0,1040,0,0,ok
46,0x8f9f00,0,18064,0,0,ok
47,0x8fe600,0,368,0,0,ok
48,0x8fe800,0,64,0,0,ok
49,0x8fe900,0,64,0,0,ok
50,0x8fea00,0,8016,0,0,ok
51,0x900a00,0,313872,0,0,ok
52,0x94d500,0,832080,0,0,ok
53,0xa18800,0,1936,0,0,ok
54,0xa19000,0,126912,0,0,ok
55,0xa38000,0,304,0,0,ok
56,0xa38200,0,1168,0,0,ok
57,0xa38700,0,80,0,0,ok
58,0xa38800,0,53616,0,0,ok
59,0xa45a00,0,1920016,0,0,ok
60,0xc1a700,0,409648,0,0,ok
61,0xc7e800,0,92624,0,0,ok
62,0xc95200,0,96272,0,0,ok
63,0xcacb00,0,228880,0,0,ok
64,0xce4a00,0,626224,0,0,ok
65,0xd7d900,0,1296,0,0,ok
66,0xd7df00,0,51696,0,0,ok
67,0xd8a900,0,2672,0,0,ok
68,0xd8b400,0,181648,0,0,ok
69,0xdb7a00,0,178288,0,0,ok
70,0xde3300,0,156864,0,0,ok
71,0xe09800,0,156016,0,0,ok
72,0xe2fa00,0,181456,0,0,ok
73,0xe5bf00,0,146096,0,0,ok
74,0xe7fa00,0,181184,0,0,ok
75,0xeabe00,0,147232,0,0,ok
76,0xecfe00,0,159776,0,0,ok
77,0xef6f00,0,180368,0,0,ok
78,0xf23000,0,160480,0,0,ok
79,0xf4a300,0,143072,0,0,ok
80,0xf6d200,0,155664,0,0,ok
81,0xf93300,0,157856,0,0,ok
82,0xfb9c00,0,178816,0,0,ok
83,0xfe5700,0,161472,0,0,ok
84,0x100ce00,0,142624,0,0,ok
85,0x102fc00,0,181056,0,0,ok
86,0x105c000,0,156736,0,0,ok
87,0x1082500,0,165840,0,0,ok
88,0x10aad00,0,176864,0,0,ok
89,0x10d6000,0,178624,0,0,ok
90,0x1101a00,0,199712,0,0,ok
91,0x1132700,0,175872,0,0,ok
92,0x115d600,0,137120,0,0,ok
93,0x117ee00,0,180688,0,0,ok
94,0x11ab000,0,152624,0,0,ok
95,0x11d0500,0,165184,0,0,ok
96,0x11f8b00,0,175952,0,0,ok
97,0x1223b00,0,213488,0,0,ok
98,0x1257d00,0,150976,0,0,ok
99,0x127cb00,0,171136,0,0,ok
100,0x12a6800,0,145504,0,0,ok
101,0x12ca100,0,227792,0,0,ok
102,0x1301b00,0,173520,0,0,ok
103,0x132c100,0,199680,0,0,ok
104,0x135cd00,0,189568,0,0,ok
105,0x138b200,0,189936,0,0,ok
106,0x13b9800,0,252160,0,0,ok
107,0x13f7100,0,162384,0,0,ok
108,0x141ec00,0,152512,0,0,ok
109,0x1444000,0,285104,0,0,ok
110,0x1489a00,0,153040,0,0,ok
111,0x14af000,0,107744,0,0,ok
112,0x14c9500,0,102624,0,0,ok
113,0x14e2600,0,124720,0,0,ok
114,0x1500e00,0,115184,0,0,ok
115,0x151d000,0,67824,0,0,ok
116,0x152d900,0,123232,0,0,ok
117,0x154bb00,0,111936,0,0,ok
118,0x1567100,0,126064,0,0,ok
119,0x1585e00,0,119552,0,0,ok
120,0x15a3100,0,135744,0,0,ok
121,0x15c4400,0,121904,0,0,ok
122,0x15e2100,0,113664,0,0,ok
123,0x15fdd00,0,111360,0,0,ok
124,0x1619000,0,120880,0,0,ok
125,0x1636900,0,119296,0,0,ok
126,0x1653b00,0,121088,0,0,ok
127,0x1671400,0,113184,0,0,ok
128,0x168cf00,0,90816,0,0,ok
129,0x16a3200,0,112848,0,0,ok
130,0x16beb00,0,89280,0,0,ok
131,0x16d4800,0,62512,0,0,ok
132,0x16e3d00,0,43312,0,0,ok
133,0x16ee700,0,43312,0,0,ok
134,0x16f9100,0,110352,0,0,ok
135,0x1714100,0,101168,0,0,ok
136,0x172cd00,0,113664,0,0,ok
137,0x1748900,0,92368,0,0,ok
138,0x175f200,0,112016,0,0,ok
139,0x177a800,0,112272,0,0,ok
140,0x1795f00,0,115024,0,0,ok
141,0x17b2100,0,107840,0,0,ok
142,0x17cc700,0,110064,0,0,ok
143,0x17e7500,0,111472,0,0,ok
144,0x1802900,0,116640,0,0,ok
145,0x181f100,0,118000,0,0,ok
146,0x183be00,0,110016,0,0,ok
147,0x1856c00,0,101792,0,0,ok
148,0x186fa00,0,105040,0,0,ok
149,0x1889500,0,108464,0,0,ok
150,0x18a3d00,0,112336,0,0,ok
151,0x18bf400,0,16288,0,0,ok
152,0x18c3400,0,178992,0,0,ok
153,0x18ef000,0,103936,0,0,ok
154,0x1908600,0,138288,0,0,ok
155,0x192a300,0,146160,0,0,ok
156,0x194de00,0,97040,0,0,ok
157,0x1965a00,0,154656,0,0,ok
158,0x198b700,0,99920,0,0,ok
159,0x19a3e00,0,96864,0,0,ok
160,0x19bb900,0,98096,0,0,ok
161,0x19d3900,0,101280,0,0,ok
162,0x19ec500,0,54064,0,0,ok
163,0x19f9900,0,57600,0,0,ok
164,0x1a07a00,0,87504,0,0,ok
165,0x1a1d000,0,63568,0,0,ok
166,0x1a2c900,0,54160,0,0,ok
167,0x1a39d00,0,54064,0,0,ok
168,0x1a47100,0,101520,0,0,ok
169,0x1a5fe00,0,99824,0,0,ok
170,0x1a78400,0,56656,0,0,ok
171,0x1a86200,0,54192,0,0,ok
172,0x1a93600,0,54192,0,0,ok
173,0x1aa0a00,0,54464,0,0,ok
174,0x1aadf00,0,53072,0,0,ok
175,0x1abaf00,0,51360,0,0,ok
176,0x1ac7800,0,53136,0,0,ok
177,0x1ad4800,0,51680,0,0,ok
178,0x1ae1200,0,51984,0,0,ok
179,0x1aede00,0,52384,0,0,ok
180,0x1afab00,0,52384,0,0,ok
181,0x1b07800,0,52640,0,0,ok
182,0x1b14600,0,52640,0,0,ok
183,0x1b21400,0,6480,0,0,ok
184,0x1b22e00,0,4624,0,0,ok
185,0x1b24100,0,4624,0,0,ok
186,0x1b25400,0,5728,0,0,ok
187,0x1b26b00,0,24144,0,0,ok
188,0x1b2ca00,0,8016,0,0,ok
189,0x1b2ea00,0,52736,0,0,ok
190,0x1b3b800,0,5232,0,0,ok
191,0x1b3cd00,0,4624,0,0,ok
192,0x1b3e000,0,64688,0,0,ok
193,0x1b4dd00,0,4624,0,0,ok
194,0x1b4f000,0,6048,0,0,ok
195,0x1b50800,0,8032,0,0,ok
196,0x1b52800,0,4624,0,0,ok
197,0x1b53b00,0,4624,0,0,ok
198,0x1b54e00,0,8704,0,0,ok
199,0x1b57000,0,6400,0,0,ok
200,0x1b58900,0,4624,0,0,ok
201,0x1b59c00,0,4624,0,0,ok
202,0x1b5af00,0,4624,0,0,ok
203,0x1b5c200,0,9392,0,0,ok
204,0x1b5e700,0,75536,0,0,ok
205,0x1b70f00,0,5648,0,0,ok
206,0x1b72600,0,70304,0,0,ok
207,0x1b83900,0,168064,0,0,ok
208,0x1baca00,0,139664,0,0,ok
209,0x1bcec00,0,151760,0,0,ok
210,0x1bf3d00,0,62688,0,0,ok
211,0x1c03200,0,54576,0,0,ok
212,0x1c10800,0,263632,0,0,ok
213,0x1c50e00,0,131376,0,0,ok
214,0x1c71000,0,64656,0,0,ok
215,0x1c80d00,0,168800,0,0,ok
216,0x1caa100,0,166800,0,0,ok
217,0x1cd2d00,0,154160,0,0,ok
218,0x1cf8800,0,165568,0,0,ok
219,0x1d20f00,0,152976,0,0,ok
220,0x1d46500,0,169184,0,0,ok
221,0x1d6fa00,0,166928,0,0,ok
222,0x1d98700,0,143872,0,0,ok
223,0x1dbb900,0,159056,0,0,ok
224,0x1de2700,0,98080,0,0,ok
225,0x1dfa700,0,183680,0,0,ok
226,0x1e27500,0,173008,0,0,ok
