entry_index,window_start_hex,window_end_hex,ref_count,values,widths,offsets_hex
0,0x0,0x100,1,26,2,0x50
0,0x400,0x500,4,26 26 26 26,2 4 2 4,0x478 0x478 0x484 0x484
0,0x900,0xa00,5,57 57 57 58 58,2 2 4 2 4,0x96c 0x9cc 0x9cc 0x9f8 0x9f8
0,0xd00,0xe00,4,26 26 26 58,2 4 2 2,0xd18 0xd18 0xd1c 0xdb8
0,0x1a00,0x1b00,1,26,2,0x1a00
0,0x2200,0x2300,1,26,2,0x2298
0,0x2b00,0x2c00,6,57 57 57 57 57 57,2 2 2 2 2 2,0x2b06 0x2b32 0x2b5e 0x2b8a 0x2bb6 0x2be2
0,0x2c00,0x2d00,6,57 57 57 57 57 57,2 2 2 2 2 2,0x2c0e 0x2c3a 0x2c66 0x2c92 0x2cbe 0x2cea
0,0x2d00,0x2e00,6,57 57 57 57 57 57,2 2 2 2 2 2,0x2d16 0x2d42 0x2d6e 0x2d9a 0x2dc6 0x2df2
0,0x2e00,0x2f00,6,57 57 57 57 57 57,2 2 2 2 2 2,0x2e1e 0x2e4a 0x2e76 0x2ea2 0x2ece 0x2efa
0,0x2f00,0x3000,5,57 58 58 58 58,2 2 2 2 2,0x2f26 0x2f52 0x2f7e 0x2faa 0x2fd6
0,0x3000,0x3100,6,58 58 58 58 58 58,2 2 2 2 2 2,0x3002 0x302e 0x305a 0x3086 0x30b2 0x30de
0,0x3100,0x3200,6,58 58 58 58 58 58,2 2 2 2 2 2,0x310a 0x3136 0x3162 0x318e 0x31ba 0x31e6
0,0x3200,0x3300,12,58 292 292 58 292 58 294 294 58 294 58 58,2 2 4 2 2 2 2 4 2 2 2 2,0x3212 0x3230 0x3230 0x323e 0x3254 0x326a 0x3288 0x3288 0x3296 0x32ac 0x32c2 0x32ee
0,0x3300,0x3400,3,58 58 58,2 2 2,0x331a 0x3346 0x3372
0,0x3400,0x3500,3,308 308 308,2 2 4,0x34e8 0x34f0 0x34f0
0,0x4300,0x4400,4,292 292 294 294,2 4 2 4,0x4368 0x4368 0x43c0 0x43c0
0,0x4600,0x4700,2,308 308,2 4,0x4628 0x4628
0,0x5f00,0x6000,4,555 555 555 555,2 4 2 4,0x5f64 0x5f64 0x5fe0 0x5fe0
0,0x6400,0x6500,3,586 586 586,2 4 2,0x64b8 0x64b8 0x64dc
0,0x6900,0x6a00,2,586 586,2 4,0x690c 0x690c
0,0x6f00,0x7000,2,26 26,2 2,0x6fc6 0x6ff2
0,0x7000,0x7100,6,26 26 26 26 26 26,2 2 2 2 2 2,0x701e 0x704a 0x7076 0x70a2 0x70ce 0x70fa
0,0x7100,0x7200,5,26 26 26 26 26,2 2 2 2 2,0x7126 0x7152 0x717e 0x71aa 0x71d6
0,0x7200,0x7300,6,26 26 26 26 26 26,2 2 2 2 2 2,0x7202 0x722e 0x725a 0x7286 0x72b2 0x72de
