entry_index,window_start_hex,window_end_hex,ref_count,values,widths,offsets_hex
29,0x1b00,0x1c00,2,911 911,2 4,0x1b8c 0x1b8c
29,0x1f00,0x2000,2,911 911,2 4,0x1f7c 0x1f7c
29,0x2300,0x2400,2,911 911,2 4,0x236c 0x236c
29,0x2700,0x2800,2,911 911,2 4,0x273c 0x273c
29,0x2b00,0x2c00,2,911 911,2 4,0x2b0c 0x2b0c
29,0x3000,0x3100,2,911 911,2 4,0x302c 0x302c
29,0x3300,0x3400,2,911 911,2 4,0x33dc 0x33dc
29,0x3700,0x3800,2,911 911,2 4,0x378c 0x378c
29,0x3b00,0x3c00,2,911 911,2 4,0x3b3c 0x3b3c
32,0x300,0x400,8,26 26 26 26 26 26 26 26,2 4 2 4 2 4 2 4,0x3b8 0x3b8 0x3c0 0x3c0 0x3c8 0x3c8 0x3d0 0x3d0
32,0x600,0x700,4,26 26 26 26,2 4 2 4,0x678 0x678 0x690 0x690
32,0x700,0x800,2,26 26,2 4,0x708 0x708
32,0xf00,0x1000,8,26 26 26 26 26 26 26 26,2 4 2 4 2 4 2 4,0xf78 0xf78 0xfa8 0xfa8 0xfd8 0xfd8 0xff0 0xff0
32,0x1000,0x1100,6,26 26 26 26 26 26,2 4 2 4 2 4,0x1020 0x1020 0x1040 0x1040 0x1048 0x1048
32,0x1100,0x1200,2,26 26,2 4,0x11d0 0x11d0
32,0x1200,0x1300,4,26 26 26 26,2 4 2 4,0x1200 0x1200 0x1248 0x1248
32,0x5600,0x5700,2,26 26,2 4,0x56d8 0x56d8
32,0x5700,0x5800,6,26 26 26 26 26 26,2 4 2 4 2 4,0x5790 0x5790 0x5798 0x5798 0x57a0 0x57a0
32,0x5900,0x5a00,2,26 26,2 4,0x59d8 0x59d8
32,0x7500,0x7600,6,26 26 26 26 26 26,2 4 2 4 2 4,0x75e8 0x75e8 0x75f0 0x75f0 0x75f8 0x75f8
32,0x7600,0x7700,10,26 26 26 26 26 26 26 26 26 26,2 4 2 4 2 4 2 4 2 4,0x7600 0x7600 0x7608 0x7608 0x7610 0x7610 0x7618 0x7618 0x7620 0x7620
32,0x7700,0x7800,8,26 26 26 26 26 26 26 26,2 4 2 4 2 4 2 4,0x7700 0x7700 0x7708 0x7708 0x7710 0x7710 0x7718 0x7718
32,0x8600,0x8700,4,26 26 26 26,2 4 2 4,0x8688 0x8688 0x8690 0x8690
32,0x2e500,0x2e600,4,26 26 26 26,2 4 2 4,0x2e528 0x2e528 0x2e5f0 0x2e5f0
32,0x2e600,0x2e700,4,26 26 26 26,2 4 2 4,0x2e618 0x2e618 0x2e6d8 0x2e6d8
32,0x2e800,0x2e900,2,26 26,2 4,0x2e818 0x2e818
32,0x2ec00,0x2ed00,2,26 26,2 4,0x2ec88 0x2ec88
32,0x2f000,0x2f100,2,26 26,2 4,0x2f0e8 0x2f0e8
32,0x2f200,0x2f300,2,26 26,2 4,0x2f2a8 0x2f2a8
32,0x2f600,0x2f700,4,26 26 26 26,2 4 2 4,0x2f600 0x2f600 0x2f698 0x2f698
