hash,names,vanilla_tail,vanilla_offset,vanilla_size,mod_tail,mod_offset,mod_size,mod_marker,mod_suffix,fits_bin9,mod_data_offset_field
0x03dfd1c8,CE1_0104_SAN_DIABLE.g1e,42c0946@2838,0x42c0946,0x2838,0@40a8&9,0x0,0x40a8,&,9,True,0x4060
0x05086ee4,CE1_0112_NEW_SHOCK_AURA.g1e,Ce33dc0@3b98#8,0xce33dc0,0x3b98,C40b0@97c8&9,0xc40b0,0x97c8,&,9,False,0x9780
0x071edec1,CE1_0104_SAN_KICK.g1e,d765e0@23c8#8,0xd765e0,0x23c8,d880@40a8&9,0xd880,0x40a8,&,9,True,0x4060
0x086f0bf3,CE1_0104_SAN_CROSSE_STRIKE.g1e,d72bf0@a84#8,0xd72bf0,0xa84,11930@847&9,0x11930,0x847,&,9,True,0x4060
0x0f56ec39,CE1_0104_SAN_AURA_SKY_WALK.ktid,336a5062@b8,0x336a5062,0xb8,12180@78&9,0x12180,0x78,&,9,True,0x40
0x2ff0acf8,CE1_0104_SAN_BROCHETTE.ktid,42bffda@58,0x42bffda,0x58,12200@78&9,0x12200,0x78,&,9,True,0x40
0x382baad8,CE1_0104_SAN_RAINBOW_KICK.g1e,d795c0@23d8#8,0xd795c0,0x23d8,12280@40a8&9,0x12280,0x40a8,&,9,True,0x4060
0x398d4e43,CE1_0104_SAN_FRITTIE.ktid,42c3c0b@c0,0x42c3c0b,0xc0,16330@78&9,0x16330,0x78,&,9,True,0x40
0x41ed6e76,CE1_0104_SAN_TORNADE_KICK.ktid,42cc634@b8,0x42cc634,0xb8,163b0@78&9,0x163b0,0x78,&,9,True,0x40
0x6cd6cfbb,CE1_0104_SAN_DIABLE.ktid,42c317e@98,0x42c317e,0x98,16430@78&9,0x16430,0x78,&,9,True,0x40
0x81a4544a,CE1_0043_TYPE_FORCE_AURA_FINISH.g1e,b9ad30@d90#8,0xb9ad30,0xd90,164b0@e07&9,0x164b0,0xe07,&,9,True,0x9780
0x8e9b6240,CE1_0104_SAN_FRITTIE.g1e,d751c0@9f4#8,0xd751c0,0x9f4,172c0@847&9,0x172c0,0x847,&,9,True,0x4060
0x90c1d61f,CE1_0112_NEW_SHOCK_AURA.ktid,43499a0@d8,0x43499a0,0xd8,17b10@180&9,0x17b10,0x180,&,9,True,0x148
0xa3f07a91,CE1_0104_SAN_DECOU_DIABLE.g1e,d73680@12b6#8,0xd73680,0x12b6,17c90@847&9,0x17c90,0x847,&,9,True,0x4060
0xa48c451c,CE1_0043_TYPE_FORCE_AURA.g1e,b99570@17b3#8,0xb99570,0x17b3,184e0@e07&9,0x184e0,0xe07,&,9,True,0x9780
0xa7a29d79,CE1_0043_TYPE_FORCE_AURA_FINISH.ktid,6eb30b0@118,0x6eb30b0,0x118,192f0@180&9,0x192f0,0x180,&,9,True,0x148
0xb129a2e3,CE1_0104_SAN_SKY_WALK.ktid,bf2e6a9@58,0xbf2e6a9,0x58,19470@78&9,0x19470,0x78,&,9,True,0x40
0xbd6c349f,CE1_0104_SAN_KICK_DIABLE.g1e,d789b0@c08#8,0xd789b0,0xc08,194f0@847&9,0x194f0,0x847,&,9,True,0x4060
0xbecb2d8a,CE1_0104_SAN_AURA_SKY_WALK.g1e,d6bb70@3508#8,0xd6bb70,0x3508,19d40@40a8&9,0x19d40,0x40a8,&,9,True,0x4060
0xc06cefad,CE1_0104_SAN_TORNADE_KICK.g1e,d7d6e0@39b8#8,0xd7d6e0,0x39b8,1ddf0@40a8&9,0x1ddf0,0x40a8,&,9,True,0x4060
0xc115530c,CE1_0114_MIH_SLASH_WAVE.ktid,4362c04@b8,0x4362c04,0xb8,21ea0@140&9,0x21ea0,0x140,&,9,True,0x108
0xc20618ab,CE1_0104_SAN_RAINBOW_KICK.ktid,bfc83a2@98,0xbfc83a2,0x98,21fe0@78&9,0x21fe0,0x78,&,9,True,0x40
0xce4891be,CE1_0104_SAN_DECOUPAGE.g1e,d74940@87c#8,0xd74940,0x87c,22060@847&9,0x22060,0x847,&,9,True,0x4060
0xcedb4012,CE1_0104_SAN_DECOU_DIABLE.ktid,336a511a@d8,0x336a511a,0xd8,228b0@78&9,0x228b0,0x78,&,9,True,0x40
0xd17961e2,CE1_0104_SAN_KICK.ktid,42c6ba0@78,0x42c6ba0,0x78,22930@78&9,0x22930,0x78,&,9,True,0x40
0xd50b2057,CE1_0114_MIH_SLASH_WAVE.g1e,e4e120@3dd8#8,0xe4e120,0x3dd8,229b0@8b28&9,0x229b0,0x8b28,&,9,True,0x8ae0
0xde8c5fc8,CE1_0104_SAN_HELL_MEMORIES.g1e,d75bc0@a14#8,0xd75bc0,0xa14,2b4e0@847&9,0x2b4e0,0x847,&,9,True,0x4060
